Time_Period,Sales_Orders_Created_IDR,Sales_Ready_To_Ship_IDR,Orders_Created,Orders_Ready_To_Ship,Buyers_Orders_Created,Buyers_Ready_To_Ship,Click_Rate,Number_Of_Products_Viewed,Products_Clicked,Sales_Per_Buyer_Orders_Created_IDR,Sales_Per_Buyer_Ready_To_Ship_IDR,Source_File,Category,Processed_Date
,848.596,848.596,9,9,8,8,0.0281,178.0,5,106.074,106.074,In_Shop_Flash_Sale_Metrics_01032024-31032024.xlsx,flash sale,2025-11-05 17:35:15
,7218471.0,5779797.0,14,11,13,10,0.0163,1.656,27,555.267,577.98,In_Shop_Flash_Sale_Metrics_01052024-31052024.xlsx,flash sale,2025-11-05 17:35:15
,18112739.0,15759048.0,41,37,41,37,0.0179,12.329,221,441.774,425.92,In_Shop_Flash_Sale_Metrics_01012025-31012025.xlsx,flash sale,2025-11-05 17:35:15
,1625719.0,1625719.0,6,6,6,6,0.0635,126.0,8,270.953,270.953,In_Shop_Flash_Sale_Metrics_01092024-30092024.xlsx,flash sale,2025-11-05 17:35:15
,20084745.0,18648522.0,76,72,73,70,0.0449,14.747,662,275.133,266.407,In_Shop_Flash_Sale_Metrics_01072025-31072025.xlsx,flash sale,2025-11-05 17:35:15
,6486390.0,5906618.0,74,68,68,64,0.0226,9.994,226,95.388,92.291,In_Shop_Flash_Sale_Metrics_01042025-30042025.xlsx,flash sale,2025-11-05 17:35:15
,16185802.0,14362538.0,33,30,31,29,0.021099999999999997,13.029,275,522.123,495.26,In_Shop_Flash_Sale_Metrics_01062024-30062024.xlsx,flash sale,2025-11-05 17:35:15
,2946052.0,2123550.0,16,14,16,14,0.0124,1.206,15,184.128,151.682,In_Shop_Flash_Sale_Metrics_01102024-31102024.xlsx,flash sale,2025-11-05 17:35:15
,59694417.0,53028349.0,350,330,329,311,0.023,7.619,175,181.442,170.509,In_Shop_Flash_Sale_Metrics_01082025-31082025.xlsx,flash sale,2025-11-05 17:35:15
,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,In_Shop_Flash_Sale_Metrics_01122024-31122024.xlsx,flash sale,2025-11-05 17:35:15
,4872625.0,3984677.0,35,32,34,32,0.0131,1.447,19,143.312,124.521,In_Shop_Flash_Sale_Metrics_01102025-25102025.xlsx,flash sale,2025-11-05 17:35:15
,7780949.0,7780949.0,25,25,25,25,0.0208,1.349,28,311.238,311.238,In_Shop_Flash_Sale_Metrics_01042024-30042024.xlsx,flash sale,2025-11-05 17:35:15
,4679657.0,4672522.0,15,14,15,14,0.0359,613.0,22,311.977,333.752,In_Shop_Flash_Sale_Metrics_01082024-31082024.xlsx,flash sale,2025-11-05 17:35:15
,3507536.0,2490873.0,13,10,13,10,0.0323,1.98,64,269.81,249.087,In_Shop_Flash_Sale_Metrics_01022024-29022024.xlsx,flash sale,2025-11-05 17:35:15
,24787156.0,22437899.0,140,134,137,132,0.020499999999999997,18.206,374,180.928,169.984,In_Shop_Flash_Sale_Metrics_01062025-30062025.xlsx,flash sale,2025-11-05 17:35:15
,18412402.0,15807735.0,101,94,96,91,0.0192,19.253,369,191.796,173.711,In_Shop_Flash_Sale_Metrics_01022025-28022025.xlsx,flash sale,2025-11-05 17:35:15
,19348800.0,16678491.0,117,107,114,105,0.0219,13.772,302,169.726,158.843,In_Shop_Flash_Sale_Metrics_01052025-31052025.xlsx,flash sale,2025-11-05 17:35:15
,12655123.0,12342741.0,62,61,60,59,0.0101,8.777,89,210.919,209.199,In_Shop_Flash_Sale_Metrics_01032025-31032025.xlsx,flash sale,2025-11-05 17:35:15
,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,In_Shop_Flash_Sale_Metrics_01072024-31072024.xlsx,flash sale,2025-11-05 17:35:15
,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,In_Shop_Flash_Sale_Metrics_01112024-30112024.xlsx,flash sale,2025-11-05 17:35:15
,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,In_Shop_Flash_Sale_Metrics_01012024-31012024.xlsx,flash sale,2025-11-05 17:35:15
,4661744.0,4661744.0,11,11,10,10,0.0405,791.0,32,466.174,466.174,In_Shop_Flash_Sale_Metrics_01092025-30092025.xlsx,flash sale,2025-11-05 17:35:15
