Time_Period,Total_Played,Players,Participation_Rate,Prizes_Used_Orders_Created,Prizes_Used_Ready_To_Pay,Sales_Orders_Created_IDR,Sales_Ready_To_Ship_IDR,Products_Viewed,Prizes_Claimed,Prize_Cost_Orders_Created_IDR,Prize_Cost_Ready_To_Ship_IDR,Orders_Created,Orders_Ready_To_Ship,Source_File,Category,Processed_Date
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01032025-31032025.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01022025-28022025.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01052025-31052025.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01112024-30112024.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01012024-31012024.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01092025-30092025.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01072024-31072024.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01042024-30042024.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01122024-31122024.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01102025-25102025.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01022024-29022024.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01062025-30062025.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01082024-31082024.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01042025-30042025.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01102024-31102024.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01082025-31082025.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01062024-30062024.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01052024-31052024.xlsx,game,2025-11-05 17:35:15
,16.0,3.0,0.75,1.0,1.0,5.675,5.675,19.0,11.0,3.0,3.0,1.0,1.0,Shop_Prize_Key_Metrics_01032024-31032024.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01072025-31072025.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01012025-31012025.xlsx,game,2025-11-05 17:35:15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shop_Prize_Key_Metrics_01092024-30092024.xlsx,game,2025-11-05 17:35:15
