Time_Period,Visitors,Peak_Viewers,Average_Watch_Duration,Orders_COD_Created_Plus_NonCOD_Paid,Sales_Ready_To_Ship_IDR,Source_File,Category,Processed_Date
,8.486,28,0.43333333333333335,46,13195020.0,live_streaming_01042024-30042024.xlsx,live,2025-11-05 17:35:15
,5.318,10,0.55,67,15403094.0,live_streaming_01122024-31122024.xlsx,live,2025-11-05 17:35:15
,1.204,6,2.2666666666666666,71,12977206.0,live_streaming_01102025-25102025.xlsx,live,2025-11-05 17:35:15
,350.0,7,2.216666666666667,6,1322195.0,live_streaming_01022024-29022024.xlsx,live,2025-11-05 17:35:15
,10.154,39,0.45,142,21978006.0,live_streaming_01062025-30062025.xlsx,live,2025-11-05 17:35:15
,5.58,37,0.5666666666666667,78,24093115.0,live_streaming_01082024-31082024.xlsx,live,2025-11-05 17:35:15
,6.784,10,0.5333333333333333,130,17541530.0,live_streaming_01032025-31032025.xlsx,live,2025-11-05 17:35:15
,5.804,7,0.6833333333333333,154,19508276.0,live_streaming_01022025-28022025.xlsx,live,2025-11-05 17:35:15
,11.409,7,0.5166666666666667,209,23399182.0,live_streaming_01052025-31052025.xlsx,live,2025-11-05 17:35:15
,2.109,9,1.2833333333333332,61,13833377.0,live_streaming_01112024-30112024.xlsx,live,2025-11-05 17:35:15
,156.0,5,1.95,4,145.306,live_streaming_01012024-31012024.xlsx,live,2025-11-05 17:35:15
,1.471,4,1.5833333333333335,88,20469223.0,live_streaming_01092025-30092025.xlsx,live,2025-11-05 17:35:15
,3.186,11,0.9833333333333333,83,19334609.0,live_streaming_01072024-31072024.xlsx,live,2025-11-05 17:35:15
,5.973,17,0.45,50,13033311.0,live_streaming_01052024-31052024.xlsx,live,2025-11-05 17:35:15
,16.418,47,0.23333333333333334,28,8368431.0,live_streaming_01032024-31032024.xlsx,live,2025-11-05 17:35:15
,16.563,8,0.3,92,18523519.0,live_streaming_01072025-31072025.xlsx,live,2025-11-05 17:35:15
,4.466,11,0.3333333333333333,37,5562589.0,live_streaming_01012025-31012025.xlsx,live,2025-11-05 17:35:15
,7.014,46,0.48333333333333334,73,19337189.0,live_streaming_01092024-30092024.xlsx,live,2025-11-05 17:35:15
,5.619,7,0.6666666666666666,154,16389716.0,live_streaming_01042025-30042025.xlsx,live,2025-11-05 17:35:15
,1.784,8,1.2,24,5666419.0,live_streaming_01102024-31102024.xlsx,live,2025-11-05 17:35:15
,13.003,50,0.3,102,22134918.0,live_streaming_01082025-31082025.xlsx,live,2025-11-05 17:35:15
,3.958,11,0.65,83,23265410.0,live_streaming_01062024-30062024.xlsx,live,2025-11-05 17:35:15
