Data_Period,Actual_Recipients,Recipients_Read,Recipients_Clicked,Recipients_Blocked,Orders,Sales_IDR,Buyers,Read_Rate,Click_Rate,Conversion_Rate_Respond_To_Placed,Source_File,Category,Processed_Date
01-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
02-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
03-01-2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
04-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
05-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
06-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
07-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
08-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
09-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
10-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
11-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
12-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
13-01-2025,1373.0,479.0,59.0,6.0,0.0,0.0,0.0,0.3489,0.1232,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
14-01-2025,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
15-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
16-01-2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
17-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
18-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
19-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
20-01-2025,969.0,332.0,36.0,4.0,1.0,873111.0,1.0,0.3425999999999999,0.1084,0.0278,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
21-01-2025,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
22-01-2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
23-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
24-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
25-01-2025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
26-01-2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chat_Broadcast_overview_20250101-20250131.xlsx,mass chat data,2025-11-05 17:35:15
